,TIER,SYMBOL,PRICE,% CHANGE,$ VOL,SHARE_VOL,TRADES
231,qb,SURG,0.75,-5.66,"54,089","70,228",42
232,qb,WIZP,0.67,-15.19,"54,007","77,600",41
233,qx,FETM,20.55,-0.24,"53,421","2,600",10
234,qx,FBAK,247.00,-0.40,"53,157",215,5
235,qb,FSDDF,0.182,-4.21,"51,933","281,009",62
236,qb,BTCSD,0.6355,-4.19,"51,214","80,292",73
237,qb,SRNA,0.05,-6.54,"51,147","994,397",74
238,qx,IRRZF,0.456005,-7.32,"51,132","111,200",19
239,qb,FMCCN,16.90,+1.20,"50,700","3,000",2
240,qx,SMID,8.65,+0.23,"50,147","5,785",26
241,qx,GRRB,16.50,+3.06,"49,995","3,030",2
242,qx,NDVAF,0.3654,-6.09,"49,740","134,998",26
243,qx,TKGBY,1.3575,-0.91,"49,232","36,298",46
244,qb,MCIG,0.079,-0.63,"48,709","648,078",160
245,qb,FMCCK,17.30,-1.09,"46,127","2,671",5
246,qb,SNPW,0.0036,-10.00,"46,114","13,249,834",57
247,qx,SOTK,2.40,+0.42,"45,710","20,600",15
248,qx,IGXT,0.540245,+2.89,"44,993","83,157",34
249,qb,NSFDF,0.38,+29.69,"44,983","115,195",14
250,qx,FFMGF,0.1995,-1.48,"44,873","213,545",43
251,qx,HRVOF,0.6288,-0.19,"44,772","71,353",67
252,qx,OYIEF,7.44,-0.80,"44,722","6,083",9
253,qb,CNAB,0.35,+1.45,"44,534","129,693",80
254,qx,FSUGY,10.05,-2.24,"44,515","4,428",29
255,qb,RLMD,1.75,-3.85,"43,866","24,933",31
256,qx,ARREF,0.60,-1.02,"43,058","71,100",30
257,qb,CHKDG,56.00,+7.69,"42,442",760,5
258,qx,OTCM,35.46,-1.36,"42,319","1,187",15
259,qx,PGPEF,60.2607,0.00,"42,002",697,1
260,qb,FNMFM,17.50,0.00,"42,000","2,400",2
261,qb,QTMM,0.0483,-2.42,"41,820","841,501",45
262,qx,TATYY,40.27,+0.11,"41,184","1,017",13
263,qx,RHHVF,262.26,-0.55,"40,913",156,4
264,qb,FMCKL,9.30,+0.54,"40,769","4,400",17
265,qx,STXS,2.045,+2.25,"40,084","20,110",29
266,qx,PRFMF,0.67,-4.55,"39,685","57,138",30
267,qb,GMBL,0.423,-6.00,"39,230","76,487",17
268,qb,PBNK,12.15,+0.41,"38,863","3,212",7
269,qb,GGTTF,0.48,-1.76,"38,396","79,017",37
270,qb,EGHIF,1.06991,-8.24,"38,384","35,976",37
271,qx,VRNDF,1.1207,-2.55,"38,116","34,170",13
272,qb,FNMAK,17.85,+2.59,"37,504","2,109",6
273,qb,NEXCF,0.5673,+1.30,"37,437","66,807",54
274,qb,AITB,4.79,+4.13,"37,396","7,850",50
275,qb,ETST,0.4999,-13.81,"37,374","75,486",33
276,qb,RMHBD,0.075,+15.38,"37,297","534,707",104
277,qb,KRKNF,0.5022,-2.96,"37,059","73,101",41
278,qb,ENDV,0.0103,-7.21,"36,890","3,379,921",132
279,qb,PMCB,0.03975,-1.61,"36,760","923,920",55
280,qb,TPCS,1.03,0.00,"36,742","36,131",38
281,qx,KGFHF,3.352,-2.56,"36,571","10,890",4
282,qb,BAYK,8.00,0.00,"35,983","4,500",14
283,qb,TWOH,0.0599,+3.28,"34,824","650,282",73
284,qb,OPXS,2.02,+1.51,"34,635","17,428",19
285,qb,VATE,0.029,+0.69,"33,898","1,200,729",64
286,qx,TREVF,0.249,-4.23,"33,814","136,000",30
287,qb,GHHC,0.0047,-6.00,"33,804","7,589,621",65
288,qb,KALTF,0.0335,-1.47,"33,525","933,000",21
289,qb,HLAN,82.60,+0.12,"33,015",400,2
290,qx,JWCAF,0.70,-2.37,"32,824","46,753",21
291,qx,KROTY,2.425,-2.22,"32,698","13,409",21
292,qx,FVANF,0.3463,-7.65,"32,648","89,891",35
293,qb,GLDFF,0.094585,-3.48,"32,452","354,508",49
294,qb,INTV,0.08575,-9.69,"32,273","362,211",22
295,qb,RVSDF,0.109,-10.01,"31,922","292,105",16
296,qb,TOFB,2.02,+6.88,"31,241","15,400",41
297,qx,PHVAF,0.53,-4.49,"31,172","59,080",32
298,qb,HLIX,2.03,-3.79,"30,926","15,006",39
299,qb,SCIA,3.20,0.00,"30,830","9,662",13
300,qb,OSSIF,0.6261,+0.64,"30,800","50,100",12
301,qx,JSNSF,2.936,+1.24,"30,673","10,508",8
302,qb,CNBX,0.32,-0.50,"30,617","94,085",58
303,qx,CGOOF,1.9792,-1.52,"30,161","15,250",32
304,qb,WINR,1.60,+0.63,"30,103","18,887",23
305,qb,PVOTF,0.3385,+0.06,"30,076","90,969",24
306,qb,SNWV,0.18,0.00,"30,025","168,650",29
307,qb,BTCY,0.81,-1.82,"29,657","37,077",25
308,qb,YNVYF,0.2725,-1.70,"29,477","107,125",18
309,qx,FABK,25.00,0.00,"29,455","1,179",8
310,qb,CELZ,0.0078,-7.14,"28,922","3,781,170",39
311,qb,SFOR,0.0047,0.00,"28,534","6,382,063",76
312,qx,FCUUF,0.3958,-1.73,"28,335","72,473",31
313,qb,TNTY,0.081,+22.73,"28,253","425,572",45
314,qx,HGTXU,0.51,-3.77,"28,226","53,949",29
315,qb,SDEV,0.15,+1.28,"28,164","201,100",8
316,qb,PLDGP,65.00,+1.09,"27,935",429,3
317,qb,FRLF,0.19,-0.09,"27,893","148,428",30
318,qx,GXOCF,0.6432,+7.47,"27,882","44,513",19
319,qx,PKKW,11.10,+0.91,"27,772","2,510",8
320,qb,RFTT,17.52,-1.30,"27,331","1,560",5
321,qb,QBIO,1.76,+3.53,"27,248","15,547",28
322,qx,HKHHY,50.74,-1.80,"27,141",534,11
323,qb,ASCK,0.0069,-1.43,"27,096","3,764,083",26
324,qb,SPLIF,0.17,+0.41,"27,057","161,862",52
325,qx,MGDPF,0.586,-3.59,"26,654","44,700",32
326,qb,IGNG,0.0999,-4.77,"25,538","246,220",46
327,qx,ARESF,7.81,+0.77,"25,525","3,266",13
328,qx,HKHHF,100.15,-0.60,"25,171",251,4
329,qx,DYLLF,0.267,-1.11,"25,171","94,342",15
330,qx,TNYBF,0.522,-7.28,"25,141","46,789",28
331,qx,ACDVF,23.9985,-1.63,"25,121","1,035",6
332,qb,AERO,1.665,+7.42,"25,072","14,697",71
333,qb,BNET,0.7649,+9.27,"24,743","34,575",17
334,qb,GNAL,0.235,-7.11,"24,640","100,190",22
335,qb,EYCCF,0.07108,+0.11,"24,588","339,406",44
336,qb,ARHH,1.12506,-16.66,"24,267","21,700",26
337,qb,VKIN,0.165,-8.33,"24,177","128,675",13
338,qx,IMBBF,30.25,-2.26,"24,106",793,3
339,qb,ACAN,1.28,+1.51,"24,101","18,546",40
340,qx,DBCP,7.27,-1.76,"23,991","3,300",1
341,qb,RXMD,0.058,-2.99,"23,730","408,896",36
342,qb,ELTP,0.091,+0.55,"23,599","263,940",25
343,qx,AMAZ,0.233,+4.72,"23,471","120,132",31
344,qb,MSRT,0.064,+1.59,"23,105","377,234",64
345,qb,VFRM,0.84,-4.55,"22,981","27,292",29
346,qx,ADDDF,260.00,0.00,"22,932",90,4
347,qb,NWGI,0.365,+5.80,"22,443","61,632",12
348,qb,LIACF,0.19916,+1.99,"22,136","114,806",63
349,qb,SAYFF,0.239,+2.09,"22,024","96,406",37
350,qb,VLTC,0.845,0.00,"21,924","25,943",6
351,qx,LZRFY,9.05,+1.69,"21,411","2,358",16
352,qb,SRMC,3.23,0.00,"21,331","6,587",5
353,qb,BOSQF,0.456,-2.18,"21,212","45,590",61
354,qb,FMCKI,9.15,-0.54,"21,165","2,300",4
355,qx,PGHEF,0.45,-1.81,"21,143","46,628",27
356,qb,CPKF,26.38,+0.08,"21,104",800,2
357,qb,BFGC,0.159,-0.62,"20,861","145,000",22
358,qx,BRGGF,0.33,+0.09,"20,857","65,502",19
359,qb,OWCP,0.0199,-1.00,"20,728","1,067,145",54
360,qx,ECSIF,0.247,-1.20,"20,662","84,716",34
